,DEFENCE,HEALTH,ELEC,ECOM,FOOD,WATER,FUEL,FINANCE,LAND,RAIL,SEAPORT,AIR,SAT
DEFENCE,0.02,0.008,0.008,0.01,0.005,0.01,0.02,0.005,0.008,0.008,0.005,0.02,0.05
HEALTH,0,0.02,0.008,0.01,0.008,0.05,0.01,0.005,0.02,0.005,0.005,0.05,0.005
ELEC,0,0,0.005,0.008,0,0.005,0,0.005,0.005,0.005,0.005,0.005,0.005
ECOM,0,0,0.05,0.05,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
FOOD,0,0,0.05,0.02,0.008,0.02,0.005,0.05,0.02,0.01,0.008,0.008,0.005
WATER,0,0,0.01,0.01,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
FUEL,0,0,0.1,0.05,0,0.005,0.005,0.05,0.02,0.02,0.02,0.005,0.005
FINANCE,0,0,0.1,0.1,0,0.005,0.005,0.05,0.005,0.005,0.005,0.005,0.005
LAND,0,0,0.008,0.008,0,0.005,0.03,0.008,0.05,0.008,0.005,0.005,0.008
RAIL,0,0,0.05,0.05,0,0.03,0.01,0.008,0.008,0.008,0.005,0.005,0.005
SEAPORT,0,0,0.1,0.05,0,0.005,0.005,0.01,0.008,0.05,0.008,0.005,0.005
AIR,0,0,0.1,0.1,0,0.03,0.03,0.01,0.008,0.02,0.005,0.05,0.3
SAT,0,0,0.005,0.005,0,0,0,0,0,0,0,0,0.008
